measurement_time,latitude,longitude,speed_kmh,profil,zone_id,zone_name
06/07/2021 11:38:56,44.9765933,20.3634783,8,3,116197,T-5
06/07/2021 11:38:58,44.9766399,20.3634433,11,3,116197,T-5
06/07/2021 11:39:02,44.9767033,20.3632833,12,3,116197,T-5
06/07/2021 11:39:07,44.9767116,20.3630416,15,3,116197,T-5
06/07/2021 11:39:37,44.9760116,20.3614933,17,3,116197,T-5
06/07/2021 11:40:07,44.9753083,20.3599233,15,3,116197,T-5
06/07/2021 11:40:15,44.975225,20.359535,11,3,116197,T-5
06/07/2021 11:40:18,44.9752133,20.3594383,7,3,116197,T-5
06/07/2021 11:40:23,44.9751949,20.3593316,6,3,116197,T-5
06/07/2021 11:40:31,44.97526,20.3591866,6,3,116197,T-5
06/07/2021 11:40:48,44.9754466,20.3592083,6,3,116197,T-5
06/07/2021 11:41:18,44.9757583,20.3598666,8,3,116197,T-5
06/07/2021 11:41:48,44.9760949,20.3606016,7,3,116197,T-5
06/07/2021 11:42:18,44.9764116,20.3613316,8,3,116197,T-5
06/07/2021 11:42:48,44.9767433,20.3620283,7,3,116197,T-5
06/07/2021 11:43:12,44.9769583,20.36264,12,3,116197,T-5
06/07/2021 11:43:16,44.9769016,20.3627266,9,3,116197,T-5
06/07/2021 11:43:19,44.97683,20.3627283,9,3,116197,T-5
06/07/2021 11:43:22,44.9767716,20.3626683,10,3,116197,T-5
06/07/2021 11:43:27,44.9767216,20.3624816,11,3,116197,T-5
06/07/2021 11:43:38,44.9767183,20.3620516,11,3,116197,T-5
06/07/2021 11:43:45,44.97682,20.3618266,12,3,116197,T-5
06/07/2021 11:43:51,44.9769716,20.361715,11,3,,
06/07/2021 11:44:05,44.9774316,20.3614249,16,3,116197,T-5
06/07/2021 11:44:22,44.9780033,20.3608566,15,3,116197,T-5
06/07/2021 11:44:26,44.9781599,20.3609166,15,3,,
06/07/2021 11:44:43,44.9786016,20.3616366,16,3,116197,T-5
06/07/2021 11:44:48,44.9787816,20.3614833,18,3,116197,T-5
06/07/2021 11:45:18,44.9797866,20.360265,16,3,116197,T-5
06/07/2021 11:45:44,44.9802616,20.3595966,7,3,,
06/07/2021 11:45:47,44.9803233,20.3596466,8,3,,
06/07/2021 11:46:17,44.9816016,20.3616933,33,3,,
06/07/2021 11:46:47,44.9821716,20.365395,36,3,,
06/07/2021 11:47:17,44.9829049,20.3696416,42,3,,
06/07/2021 11:47:47,44.9836133,20.3736983,23,3,,
06/07/2021 11:48:17,44.9842816,20.3770666,38,3,,
06/07/2021 11:48:47,44.9855049,20.3803716,34,3,,
06/07/2021 11:49:17,44.9868883,20.3840533,39,3,,
06/07/2021 11:49:47,44.9887666,20.3874783,41,3,,
06/07/2021 11:50:17,44.9910933,20.3903666,38,3,,
06/07/2021 11:50:30,44.9919383,20.39176,40,3,,
06/07/2021 11:51:00,44.9924716,20.3959583,29,3,,
06/07/2021 11:51:04,44.9925549,20.3962883,22,3,,
06/07/2021 11:51:07,44.9926966,20.3964066,23,3,,
06/07/2021 11:51:26,44.9937549,20.3966766,18,3,,
06/07/2021 11:51:32,44.993925,20.3969116,16,3,,
06/07/2021 11:51:58,44.99543,20.397665,19,3,,
06/07/2021 11:52:28,44.996395,20.3989733,28,3,,
06/07/2021 11:52:58,44.997845,20.40072,13,3,,
06/07/2021 11:53:28,44.9988916,20.4020666,23,3,,
06/07/2021 11:53:50,44.9996133,20.402885,11,3,,
06/07/2021 11:53:53,44.999715,20.4027466,20,3,,
06/07/2021 11:54:07,45.0000799,20.4020799,9,3,,
06/07/2021 11:54:10,45.0000533,20.40198,11,3,,
06/07/2021 11:54:40,44.9992683,20.4009983,16,3,,
06/07/2021 11:55:00,44.998795,20.4003233,8,3,,
06/07/2021 11:55:02,44.998795,20.400265,8,3,,
06/07/2021 11:55:32,44.9989733,20.39994,0,3,,
06/07/2021 11:55:51,44.9989733,20.3999483,7,3,,
06/07/2021 11:56:21,44.9989633,20.3999616,5,3,,
06/07/2021 11:56:51,44.9989599,20.3999583,0,3,,
06/07/2021 11:57:21,44.9989599,20.3999583,0,3,,
06/07/2021 11:57:51,44.9989599,20.3999583,0,3,,
06/07/2021 11:58:21,44.9989599,20.3999583,0,3,,
06/07/2021 11:58:51,44.9989599,20.3999583,0,3,,
06/07/2021 11:59:21,44.9989599,20.3999583,0,3,,
06/07/2021 11:59:51,44.9989599,20.3999583,0,3,,
06/07/2021 12:00:21,44.9989599,20.3999583,0,3,,
06/07/2021 12:00:35,44.998985,20.3999716,6,3,,
06/07/2021 12:00:50,44.9991366,20.3996483,6,3,,
06/07/2021 12:00:55,44.999095,20.39953,7,3,,
06/07/2021 12:01:01,44.9990133,20.3994533,6,3,,
06/07/2021 12:01:31,44.9989883,20.3994133,0,3,,
06/07/2021 12:02:01,44.9989883,20.3994133,0,3,,
06/07/2021 12:02:31,44.9989883,20.3994133,0,3,,
06/07/2021 12:03:01,44.998985,20.399385,0,3,,
06/07/2021 12:03:31,44.998985,20.399385,0,3,,
06/07/2021 12:04:01,44.99902,20.3993333,0,3,,
06/07/2021 12:04:31,44.99902,20.3993333,0,3,,
06/07/2021 12:05:01,44.99902,20.3993333,0,3,,
06/07/2021 12:05:16,44.998965,20.3992883,8,3,,
06/07/2021 12:05:22,44.9989,20.3992499,6,3,,
06/07/2021 12:05:52,44.99886,20.3993,0,3,,
06/07/2021 12:06:22,44.9987933,20.3995583,0,3,,
06/07/2021 12:06:52,44.998785,20.3995633,0,3,,
06/07/2021 12:07:22,44.998785,20.3995633,0,3,,
06/07/2021 12:07:52,44.998785,20.3995633,0,3,,
06/07/2021 12:08:22,44.998785,20.3995633,0,3,,
06/07/2021 12:08:52,44.998785,20.3995633,0,3,,
06/07/2021 12:09:22,44.998785,20.3995633,0,3,,
06/07/2021 12:09:52,44.998785,20.3995633,0,3,,
06/07/2021 12:10:22,44.998785,20.3995633,0,3,,
06/07/2021 12:10:43,44.9989466,20.3994133,6,3,,
06/07/2021 12:11:09,44.9989983,20.3994666,8,3,,
06/07/2021 12:11:21,44.9991266,20.3997166,6,3,,
06/07/2021 12:11:37,44.9988016,20.4002233,9,3,,
06/07/2021 12:11:43,44.9987716,20.4004449,14,3,,
06/07/2021 12:11:47,44.9988883,20.400625,18,3,,
06/07/2021 12:12:17,44.9999149,20.4018266,7,3,,
06/07/2021 12:12:23,45.0001016,20.4020983,14,3,,
06/07/2021 12:12:24,45.0001016,20.4021433,11,3,,
06/07/2021 12:12:41,44.9995666,20.4028783,13,3,,
06/07/2021 12:12:44,44.999475,20.4028816,14,3,,
06/07/2021 12:13:14,44.9985083,20.4015366,19,3,,
06/07/2021 12:13:44,44.9974133,20.4001816,30,3,,
06/07/2021 12:14:14,44.9957949,20.3982166,11,3,,
06/07/2021 12:14:42,44.9948166,20.39706,28,3,,
06/07/2021 12:15:00,44.99378,20.3967399,19,3,,
06/07/2021 12:15:04,44.99359,20.3965199,27,3,,
06/07/2021 12:15:20,44.9924783,20.39619,30,3,,
06/07/2021 12:15:50,44.99198,20.391715,51,3,,
06/07/2021 12:15:56,44.9915533,20.390825,46,3,,
06/07/2021 12:16:26,44.9897599,20.3887133,42,3,,
06/07/2021 12:16:56,44.9872333,20.3848816,50,3,,
06/07/2021 12:17:26,44.985435,20.3801983,51,3,,
06/07/2021 12:17:56,44.9839483,20.375385,47,3,,
06/07/2021 12:18:26,44.9832916,20.3716249,13,3,,
06/07/2021 12:18:28,44.9832566,20.3715883,7,3,,
06/07/2021 12:18:30,44.9832199,20.37159,7,3,,
06/07/2021 12:18:44,44.9829583,20.3718316,10,3,116197,T-5
06/07/2021 12:19:14,44.98269,20.3721399,0,3,116197,T-5
06/07/2021 12:19:44,44.98269,20.3721399,0,3,116197,T-5
06/07/2021 12:20:14,44.98269,20.3721399,0,3,116197,T-5
06/07/2021 12:20:44,44.98269,20.3721399,0,3,116197,T-5
06/07/2021 12:21:14,44.98269,20.3721399,0,3,116197,T-5
06/07/2021 12:21:44,44.98269,20.3721399,0,3,116197,T-5
06/07/2021 12:22:14,44.98269,20.3721399,0,3,116197,T-5
06/07/2021 12:22:44,44.9826716,20.3720883,0,3,116197,T-5
06/07/2021 12:23:14,44.9826716,20.3720883,0,3,116197,T-5
06/07/2021 12:23:44,44.9826516,20.3720833,0,3,116197,T-5
06/07/2021 12:24:14,44.9826516,20.3720833,0,3,116197,T-5
06/07/2021 12:24:44,44.9826516,20.3720833,0,3,116197,T-5
06/07/2021 12:25:14,44.982665,20.3721116,0,3,116197,T-5
06/07/2021 12:25:29,44.9826666,20.37211,6,3,116197,T-5
06/07/2021 12:25:59,44.9826833,20.372135,0,3,116197,T-5
06/07/2021 12:26:28,44.9826983,20.3720783,6,3,116197,T-5
06/07/2021 12:26:58,44.9826983,20.3721066,0,3,116197,T-5
06/07/2021 12:27:28,44.9826983,20.3721166,0,3,116197,T-5
06/07/2021 12:27:58,44.9826983,20.3721166,0,3,116197,T-5
06/07/2021 12:28:28,44.9826983,20.3721166,0,3,116197,T-5
06/07/2021 12:28:58,44.9826983,20.3721166,0,3,116197,T-5
06/07/2021 12:29:28,44.9826983,20.3721166,0,3,116197,T-5
06/07/2021 12:29:30,44.982675,20.3721483,6,3,116197,T-5
06/07/2021 12:30:00,44.9826766,20.3721783,0,3,116197,T-5
06/07/2021 12:30:30,44.9826816,20.3721783,0,3,116197,T-5
06/07/2021 12:31:00,44.9826816,20.3721783,0,3,116197,T-5
06/07/2021 12:31:19,44.9827116,20.3721183,6,3,116197,T-5
06/07/2021 12:31:49,44.9827099,20.3721116,0,3,116197,T-5
06/07/2021 12:32:19,44.9826949,20.3720983,4,3,116197,T-5
06/07/2021 12:32:49,44.9826883,20.3720983,9,3,116197,T-5
06/07/2021 12:33:19,44.9827,20.3720766,0,3,116197,T-5
06/07/2021 12:33:49,44.9827,20.3720766,0,3,116197,T-5
06/07/2021 12:34:19,44.9827,20.3720766,0,3,116197,T-5
06/07/2021 12:34:49,44.9827,20.3720766,0,3,116197,T-5
06/07/2021 12:35:19,44.9827,20.3720766,0,3,116197,T-5
06/07/2021 12:35:49,44.9826966,20.3721033,0,3,116197,T-5
06/07/2021 12:36:19,44.9826966,20.3721033,0,3,116197,T-5
06/07/2021 12:36:49,44.9826933,20.3721399,0,3,116197,T-5
06/07/2021 12:37:19,44.9826949,20.3721416,0,3,116197,T-5
06/07/2021 12:37:49,44.9826949,20.3721416,0,3,116197,T-5
06/07/2021 12:38:19,44.9826949,20.3721416,0,3,116197,T-5
06/07/2021 12:38:49,44.9826949,20.3721416,0,3,116197,T-5
06/07/2021 12:39:19,44.9826949,20.3721416,0,3,116197,T-5
06/07/2021 12:39:32,44.9826949,20.3721399,9,3,116197,T-5
06/07/2021 12:40:02,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:40:32,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:41:02,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:41:32,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:42:02,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:42:32,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:43:02,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:43:32,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:44:02,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:44:32,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:45:02,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:45:32,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:46:02,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:46:32,44.9826866,20.3721316,0,3,116197,T-5
06/07/2021 12:47:02,44.9827133,20.372165,0,3,116197,T-5
06/07/2021 12:47:32,44.9827133,20.372165,0,3,116197,T-5
06/07/2021 12:48:02,44.9827133,20.372165,0,3,116197,T-5
06/07/2021 12:48:16,44.982735,20.3721833,6,3,,
06/07/2021 12:48:46,44.98274,20.3721933,0,3,,
06/07/2021 12:49:16,44.98274,20.3721933,0,3,,
06/07/2021 12:49:46,44.98274,20.3721933,0,3,,
06/07/2021 12:50:16,44.98274,20.3721933,0,3,,
06/07/2021 12:50:46,44.98274,20.3721933,0,3,,
06/07/2021 12:51:16,44.98274,20.3721933,0,3,,
06/07/2021 12:51:46,44.98274,20.3721933,0,3,,
06/07/2021 12:52:16,44.98274,20.3721933,0,3,,
06/07/2021 12:52:46,44.98274,20.3721933,0,3,,
06/07/2021 12:53:16,44.98274,20.3721933,0,3,,
06/07/2021 12:53:33,44.9826583,20.3722116,6,3,116197,T-5
06/07/2021 12:53:43,44.9824983,20.3722916,6,3,116197,T-5
06/07/2021 12:53:46,44.9824533,20.3722583,6,3,116197,T-5
06/07/2021 12:53:52,44.9823716,20.3720733,12,3,116197,T-5
06/07/2021 12:54:22,44.9820616,20.3714533,9,3,116197,T-5
06/07/2021 12:54:52,44.982,20.3713033,7,3,116197,T-5
06/07/2021 12:55:22,44.981535,20.3703483,22,3,116197,T-5
06/07/2021 12:55:52,44.98086,20.36891,13,3,116197,T-5
06/07/2021 12:56:22,44.9807416,20.3686733,0,3,116197,T-5
06/07/2021 12:56:52,44.980465,20.3681116,9,3,116197,T-5
06/07/2021 12:57:22,44.9799033,20.3669166,14,3,116197,T-5
06/07/2021 12:57:52,44.9792216,20.3655666,8,3,116197,T-5
06/07/2021 12:58:22,44.9787966,20.3645633,8,3,116197,T-5
06/07/2021 12:58:52,44.9782883,20.3636133,11,3,116197,T-5
06/07/2021 12:59:22,44.9779533,20.36281,7,3,116197,T-5
06/07/2021 12:59:52,44.977625,20.3621449,7,3,116197,T-5
06/07/2021 13:00:18,44.97737,20.3614716,8,3,116197,T-5
06/07/2021 13:00:20,44.9773983,20.3614133,10,3,116197,T-5
06/07/2021 13:00:23,44.97746,20.3613566,9,3,116197,T-5
06/07/2021 13:00:25,44.9774999,20.3613616,7,3,116197,T-5
06/07/2021 13:00:28,44.9775583,20.3614033,6,3,116197,T-5
06/07/2021 13:00:54,44.9777099,20.3618916,8,3,116197,T-5
06/07/2021 13:00:58,44.9777433,20.36198,7,3,116197,T-5
06/07/2021 13:01:28,44.9781216,20.3626833,7,3,116197,T-5
06/07/2021 13:01:58,44.9784566,20.3633783,8,3,116197,T-5
06/07/2021 13:02:28,44.9787983,20.3640699,7,3,116197,T-5
06/07/2021 13:02:58,44.9791016,20.3647716,8,3,116197,T-5
06/07/2021 13:03:28,44.9794583,20.36551,7,3,116197,T-5
06/07/2021 13:03:58,44.9797933,20.3662083,7,3,116197,T-5
06/07/2021 13:04:28,44.980115,20.3669199,8,3,116197,T-5
06/07/2021 13:04:58,44.9804483,20.3675949,7,3,116197,T-5
06/07/2021 13:05:28,44.9807783,20.3682816,8,3,116197,T-5
06/07/2021 13:05:58,44.98111,20.36898,8,3,116197,T-5
06/07/2021 13:06:24,44.9814066,20.369575,6,3,116197,T-5
06/07/2021 13:06:26,44.9814383,20.3696266,7,3,116197,T-5
06/07/2021 13:06:56,44.9817616,20.3703349,6,3,116197,T-5
06/07/2021 13:07:24,44.9820566,20.3710016,7,3,116197,T-5
06/07/2021 13:07:26,44.9820799,20.3710433,7,3,116197,T-5
06/07/2021 13:07:56,44.9824133,20.3717316,6,3,116197,T-5
06/07/2021 13:08:04,44.982505,20.371905,6,3,116197,T-5
06/07/2021 13:08:12,44.9825683,20.3720316,6,3,116197,T-5
06/07/2021 13:08:20,44.982595,20.3722383,10,3,116197,T-5
06/07/2021 13:08:23,44.9825683,20.3723316,9,3,116197,T-5
06/07/2021 13:08:26,44.9824866,20.3723666,9,3,116197,T-5
06/07/2021 13:08:28,44.9824433,20.3723316,9,3,116197,T-5
06/07/2021 13:08:58,44.982325,20.3720316,6,3,116197,T-5
06/07/2021 13:09:28,44.9819883,20.371305,7,3,116197,T-5
06/07/2021 13:09:58,44.981655,20.3705833,7,3,116197,T-5
06/07/2021 13:10:28,44.9813333,20.3698966,8,3,116197,T-5
06/07/2021 13:10:58,44.981,20.3692266,7,3,116197,T-5
06/07/2021 13:11:28,44.98066,20.3685266,7,3,116197,T-5
06/07/2021 13:11:58,44.98033,20.3678283,7,3,116197,T-5
06/07/2021 13:12:15,44.9801466,20.3674283,7,3,116197,T-5
06/07/2021 13:12:17,44.9801583,20.3673733,9,3,116197,T-5
06/07/2021 13:12:20,44.9802083,20.3673133,9,3,116197,T-5
06/07/2021 13:12:23,44.9802933,20.3673116,11,3,116197,T-5
06/07/2021 13:12:26,44.9803716,20.3673883,14,3,116197,T-5
06/07/2021 13:12:56,44.9813916,20.3696133,25,3,116197,T-5
06/07/2021 13:13:26,44.9825449,20.3720133,21,3,116197,T-5
06/07/2021 13:13:31,44.9826916,20.37211,11,3,116197,T-5
06/07/2021 13:13:36,44.9828766,20.3720616,16,3,,
06/07/2021 13:13:49,44.9832783,20.3716516,9,3,,
06/07/2021 13:13:51,44.9833149,20.3716783,9,3,,
06/07/2021 13:13:55,44.9833666,20.3718449,17,3,,
06/07/2021 13:14:25,44.983885,20.3751416,33,3,,
06/07/2021 13:14:55,44.9849449,20.37892,39,3,,
06/07/2021 13:15:25,44.9863883,20.38273,37,3,,
06/07/2021 13:15:55,44.9878516,20.3862416,38,3,,
06/07/2021 13:16:18,44.9894783,20.3883783,36,3,,
06/07/2021 13:16:46,44.9917666,20.3912416,44,3,,
06/07/2021 13:16:55,44.9921133,20.3925883,42,3,,
06/07/2021 13:17:25,44.99247,20.3959683,20,3,,
06/07/2021 13:17:32,44.992565,20.3963649,12,3,,
06/07/2021 13:17:35,44.9926383,20.3964116,11,3,,
06/07/2021 13:18:01,44.99367,20.3966433,9,3,,
06/07/2021 13:18:03,44.9937099,20.3966883,9,3,,
06/07/2021 13:18:05,44.99375,20.3967516,12,3,,
06/07/2021 13:18:10,44.9938983,20.3969116,17,3,,
06/07/2021 13:18:40,44.9954416,20.3977999,19,3,,
06/07/2021 13:18:53,44.9958116,20.398315,17,3,,
06/07/2021 13:18:58,44.9959416,20.398485,16,3,,
06/07/2021 13:19:28,44.997125,20.39992,21,3,,
06/07/2021 13:19:58,44.9982316,20.401225,17,3,,
06/07/2021 13:20:28,44.9990433,20.4024216,12,3,,
06/07/2021 13:20:56,44.9993766,20.402935,8,3,,
06/07/2021 13:21:26,44.999425,20.4029416,0,3,,
06/07/2021 13:21:56,44.99942,20.4029433,0,3,,
06/07/2021 13:22:26,44.99942,20.4029433,0,3,,
06/07/2021 13:22:56,44.9994133,20.402925,4,3,,
06/07/2021 13:23:25,44.999415,20.4029366,9,3,,
06/07/2021 13:23:55,44.9994116,20.4029149,0,3,,
06/07/2021 13:24:25,44.9994116,20.4029149,0,3,,
06/07/2021 13:24:53,44.9994166,20.4028983,6,3,,
06/07/2021 13:25:23,44.9993916,20.4028616,0,3,,
06/07/2021 13:25:25,44.9994,20.4028783,7,3,,
06/07/2021 13:25:55,44.9994,20.4029016,0,3,,
06/07/2021 13:25:57,44.9993433,20.4029016,7,3,,
06/07/2021 13:26:24,44.999455,20.40293,6,3,,
06/07/2021 13:26:27,44.9995183,20.4028916,6,3,,
06/07/2021 13:26:57,45.0000649,20.402065,6,3,,
06/07/2021 13:27:27,45.0002433,20.4012166,0,3,,
06/07/2021 13:27:31,45.000225,20.4010983,9,3,,
06/07/2021 13:27:42,45.0000833,20.4008599,6,3,,
06/07/2021 13:28:12,44.9995483,20.4002233,10,3,,
06/07/2021 13:28:42,44.998965,20.3995266,6,3,,
06/07/2021 13:28:54,44.9987933,20.3993416,8,3,,
06/07/2021 13:28:57,44.9987766,20.399275,6,3,,
06/07/2021 13:29:27,44.9988383,20.3993033,0,3,,
06/07/2021 13:29:57,44.9987283,20.3994166,0,3,,
